Movies per year,,,,,,Gener Based Movies,,,,,,Movies Total Gross Income ,,,,,,Directors and Rating,,,,
,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count of id,,,,,Row Labels,Count of id,,,,,Row Labels,Sum of gross_income,,,,,Row Labels,Average of rating,,,
1915,2,,,,,Action,106,,,,,0.45,9947631,,,,,A. Edward Sutherland,6.45,,,
1918,3,,,,,"Action, Adventure, Drama",233,,,,,13,1000045,,,,,A. Majid,5.9,,,
1920,2,,,,,"Action, Adventure, Film-Noir",1,,,,,42,95001343,,,,,A.J. Kparr,4.5,,,
1923,7,,,,,"Action, Adventure, Horror",43,,,,,11 settembre 1683,22293,,,,,A.R. Hilton,3.8,,,
1926,15,,,,,"Action, Adventure, Mystery",16,,,,,12 Feet Deep,4348368,,,,,A.R. Murugadoss,6.483333333,,,
1929,20,,,,,"Crime, Mystery, Sci-Fi",3,,,,,12 Monkeys,57141459,,,,,"Danny Lee,Billy Hin-Shing Tang",5.8,,,
1932,24,,,,,"Crime, Sci-Fi",2,,,,,12 Rounds 3: Lockdown,71145,,,,,Daron Niemerow,2.6,,,
2010,398,,,,,"Crime, Thriller, War",1,,,,,127 Hours,18335230,,,,,Darrell Van Citters,5.2,,,
2013,557,,,,,"Documentary, Music, Romance",1,,,,,Kill Chain,32238923,,,,,Darren McGavin,5.7,,,
2016,612,,,,,"Documentary, Romance, War",1,,,,,Kill Dil,4546244,,,,,Darren Paul Fisher,6.7,,,
2021,429,,,,,"Documentary, Sport",91,,,,,The Proposition,1900725,,,,,Gustavo Hernández,5.3,,,
2022,161,,,,,War,9,,,,,The Protector,11905519,,,,,Gustavo Lipsztein,4.8,,,
Grand Total,2230,,,,,"Western, Action",1,,,,,The Protector 2,2317,,,,,Guy Moshe,6.1,,,
,,,,,,"Western, Adventure",2,,,,,The Proud Ones,5450000,,,,,Guy Nattiv,6.8,,,
,,,,,,Grand Total,510,,,,,The Proud Rebel,10297897,,,,,Lee Bonner,6.5,,,
,,,,,,,,,,,,The Prowler,19595031,,,,,Lee Davis,5.8,,,
,,,,,,,,,,,,The Public Eye,3067917,,,,,"Lee H. Katzin,Bernard Girard",6.8,,,
,,,,,,,,,,,,Zoombies 2,13893,,,,,Lee Harry,3.8,,,
,,,,,,,,,,,,Zyzzyx Rd,30,,,,,Zoe Clarke-Williams,5.2,,,
,,,,,,,,,,,,11:55:00,610402,,,,,Zoe Dobson,6.6,,,
,,,,,,,,,,,,01-10-2001,398420,,,,,Zoe Lister-Jones,5.5,,,
,,,,,,,,,,,,22-07-2025,58645052,,,,,Zoe R. Cassavetes,5.3,,,
,,,,,,,,,,,,09-11-2025,3601306,,,,,Zoltan Korda,6.35,,,
,,,,,,,,,,,,Grand Total,338141190,,,,,Zoran Perisic,4.5,,,
,,,,,,,,,,,,,,,,,,Zoya Akhtar,7.9,,,
,,,,,,,,,,,,,,,,,,TRUE,5.2,,,
,,,,,,,,,,,,,,,,,,Grand Total,5.839473684,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
